id	class	path	control
CG-CI-001	planning	assurance/PLAN.md	git
CG-CI-002	planning	assurance/VERIFICATION_PLAN.md	git
CG-CI-003	planning	assurance/CONFIGURATION_MANAGEMENT_PLAN.md	git
CG-CI-004	planning	assurance/QUALITY_ASSURANCE_PLAN.md	git
CG-CI-019	planning	assurance/DEVELOPMENT_PLAN.md	git
CG-CI-005	requirements	CASEGRAPH_FOUNDATION_SPEC.md	git
CG-CI-006	requirements	assurance/requirements.tsv	git
CG-CI-007	design	docs/architecture.md	git
CG-CI-008	design	assurance/STANDARDS.md	git
CG-CI-009	source	crates	git
CG-CI-010	source	Cargo.toml	git
CG-CI-011	verification	assurance/traceability.tsv	git
CG-CI-012	verification	fixtures	git
CG-CI-013	verification	.github/workflows/ci.yml	git
CG-CI-014	environment	rust-toolchain.toml	git
CG-CI-015	environment	Cargo.lock	git
CG-CI-016	release	assurance/SOFTWARE_CONFIGURATION_INDEX.md	git
CG-CI-017	release	assurance/ACCOMPLISHMENT_SUMMARY.md	git
CG-CI-018	verification	assurance/problem-reports.tsv	git
CG-CI-020	verification	assurance/REVIEW_RECORD_TEMPLATE.md	git
CG-CI-021	planning	assurance/README.md	git
CG-CI-022	planning	CONTRIBUTING.md	git
CG-CI-023	verification	.github/pull_request_template.md	git
CG-CI-024	verification	.github/ISSUE_TEMPLATE/problem-report.yml	git
CG-CI-025	design	docs/adr/0003-do-178c-aligned-assurance-lifecycle.md	git
CG-CI-026	design	docs	git
CG-CI-027	planning	IMPLEMENTATION_PLAN.md	git
CG-CI-028	release	README.md	git
CG-CI-029	release	LICENSE	git
CG-CI-030	verification	assurance/COVERAGE_ANALYSIS.md	git
