requirement_id	design	code	tests	method
CG-HLR-001	docs/provenance.md	crates/casegraph-infrastructure/src/artifact_store.rs;crates/casegraph-infrastructure/src/sqlite_repository.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#immutable_ingestion_distinguishes_duplicate_from_new_version	test
CG-HLR-002	docs/provenance.md	crates/casegraph-domain/src/model.rs;crates/casegraph-application/src/service.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#deterministic_pipeline_creates_provenance_without_any_model_provider	test
CG-HLR-003	docs/provenance.md	crates/casegraph-application/src/service.rs;crates/casegraph-infrastructure/src/sqlite_repository.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#conflicting_claims_keep_provenance_and_correction_history;crates/casegraph-infrastructure/tests/evidence_integrity.rs#equal_known_claims_corroborate_instead_of_contradicting	test
CG-HLR-004	docs/provenance.md	crates/casegraph-application/src/service.rs;crates/casegraph-infrastructure/src/sqlite_repository.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#conflicting_claims_keep_provenance_and_correction_history	test
CG-HLR-005	docs/extraction-pipeline.md	crates/casegraph-infrastructure/src/extractors.rs;crates/casegraph-application/src/service.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#deterministic_pipeline_creates_provenance_without_any_model_provider	test
CG-HLR-006	docs/extraction-pipeline.md	crates/casegraph-application/src/reasoning.rs	crates/casegraph-application/src/reasoning.rs#remote_provider_is_denied_under_local_only_policy_before_invocation;crates/casegraph-application/src/reasoning.rs#malformed_output_is_rejected_and_recorded_without_raw_output	test
CG-HLR-007	docs/rules-workflow-query.md	crates/casegraph-application/src/rules.rs;crates/casegraph-infrastructure/src/sqlite_repository.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#versioned_rule_materializes_explainable_workflow_and_is_reproducible	test
CG-HLR-008	docs/rules-workflow-query.md	crates/casegraph-application/src/rules.rs;crates/casegraph-infrastructure/src/sqlite_repository.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#versioned_rule_materializes_explainable_workflow_and_is_reproducible	test
CG-HLR-009	docs/rules-workflow-query.md	crates/casegraph-application/src/rules.rs	crates/casegraph-cli/src/lib.rs#cli_demo_exercises_complete_shared_service_flow	test+analysis
CG-HLR-010	docs/api-cli.md	crates/casegraph-api/src/lib.rs;crates/casegraph-cli/src/lib.rs	crates/casegraph-api/src/lib.rs#real_http_health_and_case_creation_use_shared_services;crates/casegraph-cli/tests/cli.rs#binary_help_and_demo_are_machine_readable	test
CG-HLR-011	docs/development.md	crates/casegraph-infrastructure/src/migrations.rs;crates/casegraph-infrastructure/migrations/0004_append_only_evidence_guards.sql	crates/casegraph-infrastructure/src/migrations.rs#clean_database_migrates_to_latest_and_is_idempotent;crates/casegraph-infrastructure/src/migrations.rs#changed_applied_migration_is_rejected	test
CG-HLR-012	docs/security.md;docs/operations.md	crates/casegraph-infrastructure/src/config.rs;crates/casegraph-infrastructure/src/diagnostics.rs	crates/casegraph-infrastructure/src/config.rs#secure_defaults_disable_models_and_bind_loopback;crates/casegraph-infrastructure/src/diagnostics.rs#diagnostics_are_structured_correlated_and_have_no_content_field	test
CG-HLR-013	docs/domain-packages.md	crates/casegraph-application/src/extension.rs;crates/casegraph-sample-domain/src/lib.rs	crates/casegraph-application/src/extension.rs#core_registry_operates_without_any_domain_package;crates/casegraph-sample-domain/src/lib.rs#artificial_package_contributes_through_the_extension_contract	test
CG-HLR-014	docs/domain-model.md	crates/casegraph-domain/src/value.rs;crates/casegraph-domain/src/temporal.rs	crates/casegraph-domain/src/value.rs#money_is_exact_and_currency_is_validated;crates/casegraph-domain/src/value.rs#unknown_is_not_known_false;crates/casegraph-domain/src/temporal.rs#reversed_uncertain_range_is_rejected	test
CG-HLR-015	docs/security.md	crates/casegraph-domain/src/id.rs;crates/casegraph-application/src/service.rs	crates/casegraph-domain/src/id.rs#unsafe_identifier_characters_are_rejected_during_deserialization;crates/casegraph-application/src/service.rs#oversized_artifact_is_rejected_before_storage;crates/casegraph-application/src/service.rs#path_like_original_filename_is_rejected	test
CG-HLR-016	assurance/PLAN.md	crates/casegraph-assurance/src/main.rs	crates/casegraph-assurance/src/main.rs#repository_assurance_data_is_internally_consistent;crates/casegraph-assurance/src/main.rs#malformed_and_escaping_assurance_references_are_rejected	test
CG-HLR-017	assurance/COVERAGE_ANALYSIS.md	.github/workflows/ci.yml	crates/casegraph-assurance/src/main.rs#controlled_coverage_configuration_has_exact_tool_and_floors	test+analysis
CG-LLR-001	docs/provenance.md	crates/casegraph-infrastructure/src/artifact_store.rs	crates/casegraph-infrastructure/src/artifact_store.rs#exact_bytes_round_trip_and_duplicate_is_not_overwritten;crates/casegraph-infrastructure/src/artifact_store.rs#corrupted_existing_content_is_detected_not_silently_replaced	test
CG-LLR-002	docs/provenance.md	crates/casegraph-infrastructure/migrations/0004_append_only_evidence_guards.sql	crates/casegraph-infrastructure/src/migrations.rs#artifact_versions_are_immutable_at_the_database_boundary	test
CG-LLR-003	docs/extraction-pipeline.md	crates/casegraph-application/src/ports.rs;crates/casegraph-infrastructure/src/extractors.rs	crates/casegraph-infrastructure/src/extractors.rs#text_extraction_preserves_original_span_and_exact_money;crates/casegraph-infrastructure/src/extractors.rs#quoted_csv_is_deterministic_and_malformed_width_is_rejected	test
CG-LLR-004	docs/provenance.md	crates/casegraph-domain/src/model.rs	crates/casegraph-domain/src/model.rs#external_material_claim_without_provenance_is_rejected	test
CG-LLR-005	docs/extraction-pipeline.md	crates/casegraph-application/src/reasoning.rs	crates/casegraph-application/src/reasoning.rs#malformed_output_is_rejected_and_recorded_without_raw_output	test
CG-LLR-006	docs/rules-workflow-query.md	crates/casegraph-application/src/rules.rs	crates/casegraph-cli/src/lib.rs#cli_demo_exercises_complete_shared_service_flow	test+analysis
CG-LLR-007	docs/rules-workflow-query.md	crates/casegraph-application/src/rules.rs	crates/casegraph-infrastructure/tests/evidence_integrity.rs#versioned_rule_materializes_explainable_workflow_and_is_reproducible	test
CG-LLR-008	docs/api-cli.md	crates/casegraph-api/src/openapi.json;crates/casegraph-api/src/lib.rs	crates/casegraph-api/src/lib.rs#checked_in_openapi_is_valid_and_describes_implemented_core_routes	test
CG-LLR-009	assurance/VERIFICATION_PLAN.md	.github/workflows/ci.yml;crates/casegraph-assurance/src/main.rs	crates/casegraph-assurance/src/main.rs#repository_assurance_data_is_internally_consistent	test+analysis
CG-LLR-010	assurance/STANDARDS.md	Cargo.toml	crates/casegraph-assurance/src/main.rs#repository_assurance_data_is_internally_consistent	test+analysis
CG-LLR-011	assurance/COVERAGE_ANALYSIS.md	.github/workflows/ci.yml	crates/casegraph-assurance/src/main.rs#controlled_coverage_configuration_has_exact_tool_and_floors	test+analysis
